Webpage,Organization,Camp Name,Camp Description,Start Age,End Age,Start Grade,End Grade,Start Date,End Date,Start Time,End Time,Pre/After Care,Registration,Cost,Location,City,Notes
https://summerbtvparks.com/,Burlington Parks & Rec,Baseball Camp,,6,12,1,6,7/14/2025,7/18/2025,09:00 AM,12:00 PM,,,$130,Schifilliti Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Maven Skate Camp Session 2,,5,14,K,8,7/14/2025,7/18/2025,09:00 AM,12:00 PM,,,$208,Burlington,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Rise & Shine 2025,,6,12,1,6,7/14/2025,7/18/2025,09:30 AM,12:00 PM,,,176 .80,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Tennis Camp,,7,11,2,5,7/14/2025,7/18/2025,08:00 AM,12:00 PM,,,$177,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Maven Skate Camp Session 3,,5,14,K,8,7/21/2025,7/25/2025,09:00 AM,12:00 PM,,,$208,Burlington,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Soccer Sparks Camp,,7,12,2,6,7/21/2025,7/25/2025,09:00 AM,12:00 PM,,,$166,Leddy Park - Athletic Field,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,ND42 Basketball Camp,,5,8,K,2,7/28/2025,8/1/2025,09:00 AM,12:00 PM,,,$161,Edmunds Middle School,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Rise & Shine 2025,,6,12,1,6,7/28/2025,8/1/2025,09:30 AM,12:00 PM,,,176 .80,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Ultimate Camp,,10,15,5,9,7/28/2025,8/1/2025,09:00 AM,12:00 PM,,,$187,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Tennis Camp,,7,11,2,5,7/28/2025,8/1/2025,08:00 AM,12:00 PM,,,$177,Calahan Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Rise & Shine 2025,,6,12,1,6,8/4/2025,8/8/2025,09:30 AM,12:00 PM,,,176 .80,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Talent Skate Camp,,5,14,K,8,8/11/2025,8/15/2025,09:00 AM,12:00 PM,,,$191,"""A_Dog"" Skate Park",Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Tennis Camp,,10,15,5,9,8/11/2025,8/15/2025,08:00 AM,12:00 PM,,,$177,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Brazillian Soccer Camp - Half Day,,7,14,2,8,8/18/2025,8/22/2025,09:00 AM,12:00 PM,,,$243,Leddy Park,Burlington,
https://summerbtvparks.com/,Burlington Parks & Rec,Laura Ray Soccer Camp,,7,12,2,6,6/23/2025,6/27/2025,09:00 AM,03:00 PM,,,$328,Leddy Park,Burlington,
